Customer ID,Name,Gender,Age,Income (USD),Income Stability,Profession,Loan Amount Request (USD),Dependents,Property ID,Location,Property Price,Loan Sanction Amount (USD)
C-11549,Mellissa Dupler,F,44,1266.06,Low,Working,12402.54,3,89,Semi-Urban,21913.58,0
C-9134,Teri Propp,F,18,2276.44,Low,Working,59606.76,0,844,Rural,66854.51,0
C-2220,Elden Resch,F,41,2319.59,Low,Commercial associate,154689.77,2,226,Rural,196381.76,0
C-14109,Lesley Britto,M,47,2061.24,Low,Working,69833.51,1,192,Semi-Urban,114733.55,0
C-24849,Merlyn Tootle,F,38,4176.8,Low,Working,169775.02,1,809,Rural,267753.18,0
C-29662,Damaris Mcpeters,M,25,1227.84,Low,Commercial associate,199320.59,4,330,Semi-Urban,363976.92,0
C-28553,Gerard Cranfield,M,39,3804.11,Low,Working,317969.28,2,532,Semi-Urban,484429.21,0
C-22619,Arielle Diem,M,54,3480.06,Low,Commercial associate,140615.62,0,993,Semi-Urban,234526.99,0
C-13311,Lizette Melnyk,F,62,2126.48,Low,Working,149998.17,1,50,Semi-Urban,240291.63,0
C-7071,Lucio Baier,M,42,1639.56,Low,Working,185476.79,2,51,Semi-Urban,266604.92,0
C-12339,Kyung Earp,M,64,3788.99,Low,Working,118342.87,2,181,Urban,198117.25,0
C-21884,Pauletta Gatto,F,31,2120.01,Low,Commercial associate,15718.6,0,678,Semi-Urban,19592.75,0
C-26291,Dian Pitcher,M,44,2453.7,Low,Working,35964.5,2,510,Semi-Urban,58433.82,0
C-26833,Yang Antoine,M,41,2327.31,Low,Working,19542.96,2,373,Rural,31989.05,0
C-7151,Teri Leedy,F,55,4070.55,Low,Working,88974.91,2,965,Urban,124617.9,0
C-29451,Margarito Pasco,M,29,3086.92,Low,Commercial associate,65864.48,0,685,Semi-Urban,82398.62,0
C-11866,Mason Serafin,F,18,3250.13,Low,Working,124444.66,1,77,Rural,205704.75,0
C-12395,Tandra Sheilds,F,61,5988.05,High,Pensioner,72496.18,2,143,Semi-Urban,120437.34,0
C-6111,Keren Gregoire,F,27,5069.36,Low,Commercial associate,297864.27,4,800,Semi-Urban,514266.9,0
C-4814,Desire Terhaar,F,20,2184.15,Low,Commercial associate,134169.71,2,982,Semi-Urban,194334.1,0
C-22917,Larae Nicastro,F,18,1874.85,Low,Working,18943.72,4,70,Semi-Urban,35811.3,0
C-18580,Donya Motz,F,37,2354.28,Low,Working,102030.94,2,893,Rural,137014.28,0
C-12316,Yolonda Plante,M,44,2702.31,Low,Commercial associate,159127.23,2,773,Semi-Urban,292192.89,0
C-1222,Laree Slaugh,M,44,2166.02,Low,Working,89733.04,5,197,Rural,101722,0
C-24688,Cathleen Kleven,M,54,1798.08,Low,Working,27824.02,4,298,Semi-Urban,48058.2,0
C-1019,Yukiko Stronach,F,28,2611.76,Low,Working,132596.05,3,557,Semi-Urban,240836.95,0
C-21652,Kathi Devaney,M,18,1640.09,Low,Working,40007.02,1,632,Rural,51311.51,0
C-17780,Jennell Lintner,M,19,2693.45,Low,Working,138352.1,2,874,Semi-Urban,237770.9,0
C-27998,Sanford Stronach,M,51,3805.65,Low,Working,93561.74,2,493,Semi-Urban,123467.05,0
C-18240,Cyrus Viera,M,47,2681.31,Low,Working,62474.09,3,566,Semi-Urban,87869.04,0
C-18592,Veta Kosak,F,59,2810.55,Low,Working,114387.92,3,29,Rural,176745.72,0
C-27057,Darlena Chace,F,57,3155.81,Low,Commercial associate,104928.85,1,119,Urban,189632.55,0
C-10495,Madalyn Milne,F,64,1564.43,High,Pensioner,158735.61,2,455,Semi-Urban,248835.23,0
C-29402,Shanae Guilbert,F,45,1448.27,Low,Working,43459.29,0,332,Semi-Urban,48552.99,0
C-22229,Dorine Lanier,F,18,1839.66,Low,Commercial associate,196458.91,0,329,Semi-Urban,362179.81,0
C-1128,Franklin Shedd,M,48,1735.07,Low,Working,103330.87,0,63,Semi-Urban,144443.92,0
C-17593,Gerry Metheny,M,18,2527.86,Low,Commercial associate,32804.24,2,548,Urban,38992.86,0
C-26705,Marquerite Mijangos,M,46,3094.24,Low,Working,114297.29,1,129,Semi-Urban,141197.3,0
C-9399,Paulene Sisler,M,63,1268.56,Low,Working,40385.92,0,139,Semi-Urban,64007.27,0
C-6953,Lesli Heldt,M,57,1826.61,Low,Commercial associate,90592.1,2,336,Semi-Urban,116030.37,0
C-21125,Aisha Genovese,F,56,1665.15,Low,Working,36997.03,1,711,Semi-Urban,45656.2,0
C-23020,Antonietta Treadwell,M,44,1451.68,Low,Working,42268.99,2,948,Semi-Urban,48104.46,0
C-5418,Antonietta Dionne,F,55,2604.94,Low,Working,75446.89,0,858,Semi-Urban,108086.29,0
C-25015,Neoma Antoine,M,34,5232.82,Low,State servant,68124.46,2,349,Rural,104663.85,0
C-26655,Herbert Tucci,F,46,5547.87,Low,Working,140251.04,2,635,Semi-Urban,180694.59,0
C-29046,Herbert Cogdill,M,46,2455.98,Low,Commercial associate,76060.4,1,189,Semi-Urban,102913.91,0
C-4973,Karoline Wanamaker,M,18,6978.49,Low,Working,136892.23,1,224,Urban,245202.4,0
C-26229,Shaniqua Seltzer,F,18,2492.32,Low,Working,48508.87,1,307,Semi-Urban,66546.25,0
